"wallet,""total_points"""
"0x83a06ade903930fddcc7e7f96cfd819b3356da7d,""1149"""
0x83a4d1F3C9ffc57C9746D70A3cD5c900fe68524B,NULL
"0x83a863543dd1c7e253bd74d46d84662748bda460,""143"""
"0x83b82e59ee94b5be03a52c7efe52c3b0e9ba6058,""2238"""
"0x83c19c43b3f2197f906ddc1018f5892e87a6f876,""699"""
"0x83c281cfd7abcb41b54d178314ed2f450df73eda,""43"""
"0x83c7c91adbf80101b84d7e23b91e48ce232f4491,""283"""
"0x83ccab780659869d4bbac7fa2210c841a23ff00b,""16823"""
"0x83d2d33f9877ba7880b3357e6a1c6a439adb61cd,""40"""
"0x83d9e44cf79303c97116807438652c6cdf7c381c,""43"""
"0x83e64e54011ee60c220d3d0a034471d7a1c9da08,""43"""
"0x83eee6c050638a7c332c7a2ee2cc4d0697a3fd3b,""13843"""
"0x83f23edb29472a1c3c6f4e93ecdb63dfd351fe30,""1503"""
"0x83f65bb7269416ca5ee357898e8faa838527939a,""835"""
"0x83f7f09e55248e1f0490e3e3d41aa34cd5c32439,""11452"""
"0x83fd026cfb17df3575b4c861774460bd44f611c1,""126"""
"0x83fd38d11024e7ee34803400b07dc5863f842ffa,""1314"""
"0x8400af42d7d03c779dd2173d33d63fcfc2496fe6,""532"""
"0x8404243c0ba2046b2c54df48871aada332e64d6b,""43"""
"0x8409d4049fee5cc5952cb5a7fc745b203c0a8b9d,""103"""
"0x841a62a723fe50ed30b119d0dac5f29a7d040a3a,""163"""
"0x84234c54ca9711a64af48fcb4c8c7357a2168373,""126"""
"0x843e77c387b3d9b47e9ff1c8350a91e1911dd327,""23585"""
"0x8440ed5a3e6a8f18fca0eb6b35bcee08ac1a87cb,""43"""
"0x844765f7984395baf443fe2299ba4d9784db847e,""583"""
"0x8450f39425d37b1a47e400b1801cb97303906439,""1183"""
"0x845235022e3bb1b3ed4266b6f29aeaec6f0bef81,""2016"""
"0x846546f2df089cf696b1e393f3c41ee0dc8addb3,""209"""
0x846594ada5fc6ead1354f11084dd0b61c4be3bb4,NULL
"0x84672e0417f10e689e9ab070a4b2f44f0a36367b,""43"""
"0x84700507d142668745209893aa72a08790a81b1b,""163"""
"0x84773a275edcdcc0bccbdacd89321deb20551857,""766"""
"0x848e0401c0cddd22bf36f7d5fc3a1cae6e2e848a,""524"""
"0x849708bb85fab78e8131283ea7e7192a34736370,""13883"""
"0x8498e5e31c44eed57118b27114a4ec289f3c9f84,""5366"""
"0x84a0b92bbc3c800ff3f641ef106de5848dac9dca,""809"""
"0x84a58fcc7cefc4e213a081af08b34a97aa3b588d,""43"""
"0x84ad647a8e734a6d1d006655101759688b2773ed,""303"""
"0x84b858aeca88afbb1a24cb5a35d0bbc0068f7335,""926"""
"0x84d462c7cb95ef9125212f1459d49eba553d3e2f,""12233"""
"0x84d668e8a360b1013e383275f5776bed71e0d7b7,""826"""
"0x84d885d7ad67e71a5ff21f48cd3a593a5f0da9bd,""2412"""
"0x84deea3a6c7eb397bb06067b88506b644b3aac7b,""43"""
"0x84e21641eaf7dda3795250e48d1995b86a0cfd9a,""16983"""
"0x84e475f3803f26cfb775f24fb740e5e5199d4977,""602"""
"0x84e4e0f52b47170d8ba6bf5e81de7e0e51ec87ef,""963"""
"0x84e8277c938102f42fc2d9625fc75049a86c99ae,""183"""
"0x8501e852aeea92c91d087ec376880ec20b610e21,""43"""
"0x85060be593e38191dc1239c584053500c8925ed4,""43"""
"0x85142dd4cb911e4b168b4b382b71bb609ccbe25e,""630"""
"0x8516577af839f596303ad5ec7492fd500e0f62d6,""4380"""
"0x8520ce11269c805dabb9d7a2aad14108fd0664e4,""183"""
"0x8524dd1b9da5360a8648a1ce1f9042434664cc19,""129"""
"0x852c6e9d13077da3ff4c5ef123019622cc625575,""163"""
"0x853311258804ced42130de0e0d0e79705b9eff4b,""283"""
"0x853681823d5883f963cf3cf6068c9a6ad10efb8a,""43"""
"0x853736c34a4739986f508a40b6e85cc8af464082,""43"""
"0x853c7f035bc3976858453463a8f9c604a38dc4e8,""66"""
"0x854420027150059a1cc821d14822947e2b3c43ac,""43"""
"0x8557acfc9be0183a21f02372abcf0c1541f6b5fb,""186"""
"0x8562ec1c2d2c8f499de5979d238c0ee53c345059,""229"""
"0x856653bf06a434869ec1bad5b338ead45a1e4127,""16663"""
"0x85675ce316a522bee5612b095a915af9349c7bc0,""86"""
"0x8583b94f82220cab86c065cbac66612cd2308956,""468"""
"0x8590bb4e6102e40407eaa68c12598c3738ad0799,""892"""
"0x859573433a9987bb9ce19c46ac533e530b263976,""43"""
"0x85a4d354c4c32f7a17549bf7d40a63c5d8eeb89e,""20401"""
"0x85a79d711be696a6f2c5452e4bb6bc17aa4157d3,""1669"""
"0x85ace38e24b2d64f12ef9c36eb78ebc742aac66f,""434"""
"0x85b04150b6af97758a353205eb13fa326a17bb92,""674"""
"0x85b5d3844f7ba82ea9e4625d4a179a8d5f7b4b55,""15303"""
"0x85cb432f0e19a721d96e2f99be854417a973c7a4,""43"""
"0x85cd5b252dc40ff107d8aa27f8922e9e347ee12f,""43"""
"0x85ce95932e59f1e6743bf96e76b5a6599d4680f3,""18923"""
"0x85f1798c2f8da8841fc596db120835758405a137,""43"""
"0x85f802517107d7392f5ba59b409848133f93362d,""243"""
"0x8625ec48b7ef3aae4a5a0abb09eefca741f6c698,""1523"""
"0x862f5c2ac3cfa0256acf0be7ffcb577c548e5e56,""43"""
