"wallet,""total_points"""
"0x0b1d77d24190affa53ad4795792ec5927e71daf1,""381"""
0x0b211b37a678cebdd15ee9a73d88461057a7f9b1,NULL
"0x0b36bd80999620d38d07d5b36761f8cd1169dfa4,""5440"""
"0x0b36d298799a2224f64549b10fcb21a57424ab86,""4383"""
"0x0b3bcba915123a456fc717e4222bdb228ed30875,""17378"""
"0x0b64cf129cfda7d65d09680ea745c6f62e3cf1f0,""263"""
"0x0b6cc314a9fb8e3a93523e01501f57c2e87ac455,""172"""
"0x0b8e0837983f092f3e64c29c4a9e4521275ba356,""18763"""
"0x0bcbe455a881ed8478001e91a3871728c03538c0,""43"""
"0x0bea593de06bd35e649826d692319e2db0a25203,""3546"""
"0x0bebbfb9db183bdaf6b071d6c1b4091c4b66f9c3,""11063"""
"0x0bebfb005b8730e3b2ff61e09d90673b775f6065,""56979"""
"0x0bfd4ea785a8a75f7b008fd72d62f017dab66ce7,""43"""
"0x0c3306ea1415252ddf52c2ab01a7bcd17a123261,""63"""
"0x0c3dc4ab7c446c8ad448b8037955adf4f76c239a,""163"""
"0x0c45b3f8485b6d42bfb12e94e7c479460ca266dd,""12771"""
"0x0c4c23b4fca6bb1e8d73240491b5b44d60b0c6ee,""11863"""
"0x0c509e2bc888350cc47447b993affc73fcbccee8,""183"""
"0x0c511b6dd15d7c5da36acda19d3b7983d549f71b,""43"""
"0x0c5cd0ac980968ef40c733a43c576bd8f1704ad1,""18963"""
"0x0c6458c78fbe60ad98125f4bf3f52aab07db7e50,""1382"""
"0x0c675eba6e6358706ad8dd9142a452fd431aa552,""43"""
"0x0c6cb9da5505b1adee80038c1126a8ec335eacfa,""271626"""
"0x0c77c2f957b0b729dba7d4cdf3e92346e2627e72,""66"""
"0x0c9a3bd59afea4ab5800be6b437c5718529ced4c,""722"""
"0x0cbe1d18e9e057f7c69a81327b2e00f7fb7c25e4,""25701"""
"0x0cc3f48f4a908254240aa9c6a953ef35d2c503de,""186"""
"0x0cddec391448aff04a0c41fe3e8e87e2d91c357a,""2833"""
"0x0ceaca730dc89f78a6b44414a5c8771521249cfe,""43"""
"0x0ceaf0520492c8a6347b0cda488e6b3911f4af5c,""484"""
"0x0cf09b9dec5ec133fedd2fbb5a162e2776e19c43,""25"""
0x0D191D0a519085EF18E0292682646EC08b116d9e,NULL
"0x0d1d60fcfa1c1a5ba429233a2ecf44848caabb8c,""163"""
"0x0d24098b6b803661c0899a482902e64db6f2f134,""186"""
"0x0d32e75a5e0a0ca1410be5b778cd8a557bb69336,""43"""
"0x0d3441f99390a2f54824804f9eaf292143560ffd,""633"""
"0x0d3870aac0899a14edc419d8763c84d58e6c9152,""573"""
"0x0d39df307ce1484d62baff557e5df2f939010947,""163"""
"0x0d41932533f543c909beca3b1b0707c96daefe03,""163"""
"0x0d4301b6e0900c42828522d5545c8f7b96f0c604,""24307"""
"0x0d5f09277752c63b6b6c489929fdd0c1b16d55ea,""163"""
"0x0d6207658b00043bddfc7439cdc6568f23780b62,""161651"""
"0x0d69f13946171525cbfc17694ef46a8137d0dff1,""43"""
"0x0d7a11bd560306b27532735c315fca2bc42c0718,""3192"""
0x0d87204fc713adc63a1e658854055eb7015ff794,NULL
"0x0d8afaa75739cb20adbce32145a8e2bd8645b36b,""263"""
"0x0d93fa1d420637ac6640b4190324c1659f5c0541,""17058"""
"0x0d9be3b67578e0f2c83bc22fe8a3fb015bf63db4,""740"""
"0x0da611ac80e959339caa0fea7a5e28964e0827cf,""18623"""
"0x0dad68292f770599879ab4c68733204f711c9e70,""13363"""
"0x0db9470e07d382839fd78de85173b975688b0e6a,""66"""
"0x0db9a6acc43cd9b3cae1f149df29a04be820ed66,""808"""
"0x0dc3e01a4a7039aa0456d9612b641aaece8ec328,""43"""
"0x0dc9665b9aaaa130877eeaa99a43cff47a47ca78,""43"""
"0x0dd049288d66163babbb03dd42bcf6d2c84eefda,""17703"""
"0x0de1d92a4469aef0f7f7c508ae7c6d2b4ab25859,""66"""
"0x0de8a924fc30d9a68529205ba2e7ff004ae8ec78,""401"""
"0x0df60668c67305f73ee71ce769c1a85d26237eeb,""66"""
"0x0dfef334f81eb79f95359115d5ee257aec197fb2,""163"""
"0x0e00e4eac0fa6b2693c9a08886d3bf88cde416ef,""43"""
"0x0e04376d3034f70e925bdf2dd777d13ea32c6bac,""16983"""
"0x0e07cd193d265d30cec93e4e8bb6d973ba2c3e58,""11318"""
"0x0e0dc87396cea774ecad5ce9b0fefb54c33defd2,""693"""
"0x0e16dec39a54695bd7a8eafa313554ee37095a78,""43"""
"0x0e1c9430ba0a44189beb04718946a720e57904d8,""212"""
"0x0e2750d92ce8d5aff15e875a468cf286bf33375e,""43"""
"0x0e343664c683a275d25f7dcd2891ebcc4adff2de,""745"""
"0x0e47c0deba76cec03d2cd7251cb1bf5d854658f5,""43"""
"0x0e58f123bfcf9575ae527349aa7b1c7f884c603b,""16643"""
"0x0e73eef2454c71360c42de3f493215f7fabd014d,""43"""
"0x0e7d8da1f775bea22ff26a852bf80dcffc2ce81f,""25"""
"0x0e7dca34f975163213750bb040c5ca01bc9f1aba,""263"""
"0x0e7f5e672f6a1bb37a43ff31be154526fcb878b0,""430"""
"0x0e89018b12c5f3be197344c38c7c309a73bf7c7a,""66"""
"0x0e8b9c8efaeedaca20447bdef74e2a8fd27d7fb2,""2693"""
"0x0e8dbfc6698664e572540cc833207fb42abe7a28,""854"""
"0x0e9eb55b89257e1248122811a4c886fb77d4d033,""17743"""
"0x0ea071c0ab6e5053f16b4342d3f35130c09f7880,""43"""
"0x0ea3ea126e7eebf8e13ecda237d5e47292f8aef3,""203"""
"0x0eae8e47493da0f302d7d62234ce9d908d059859,""11503"""
"0x0eba0e243e76fdcbf05ace2a24b748dec37d8de2,""1853"""
0x0ec05428dc85ab58f1fb91953db041ef50594b19,NULL
"0x0ec0bc784b55e61af7f8c662fb5d805d347f3b3a,""43"""
"0x0ec5c9bcf4768e27a24380b43d0df744ce1a1b6a,""163"""
"0x0ec9afb5b1fcfa24d996d79c839fcbd11f6ab574,""5560"""
"0x0ec9f939a2721ddd31e8fca15a15ea8870b930e1,""20683"""
"0x0ed15103b87a599258185cd3633fabb912acf54b,""163"""
"0x0ed7b1638e5b9b53d34332c5aa8dc138d062526a,""5389"""
"0x0ede5425b49e2bfd18abbd22e6229dd3fe3f3fa1,""263"""
"0x0eeccde69b2e72ce4d2e4329c7fec9a39e8af891,""852"""
"0x0f11dde8c262a7593e1913100ee624fe679dd9c0,""223"""
"0x0f1a705035c87722b826061f2d83aac66b22d9e3,""15123"""
"0x0f1c3bf0eb981abe95e76f758d9015e99eb07b31,""1638"""
"0x0f223ebba21582a72cd2a4c8661f3f95c5c4de0b,""43"""
"0x0f2348bb68513bdbcd6128eaaa127c16272b5aa5,""18463"""
"0x0f293021ae70ae3e3add85cc63ab4913aa840241,""717"""
"0x0f386c69eeb75c9d9ebf33a0158ed5f958e0526b,""1503"""
"0x0f4c0b9e594b12a00bc0c363b9bdd79e46a5c453,""1621"""
0x0F532FB1dBAa7693B7F165Ef54C0A39ea27a5373,NULL
"0x0f801d3799990e16e34bc68ec2435013d1fc9f47,""786"""
"0x0f8e693cdc7d757ab488ac18953da1298615c4f5,""43"""
"0x0f96918ec5f6315496171b590829ee6185b7688a,""263"""
"0x0f9e542b3e855a258c536c4248f3a48bd5532f35,""143"""
"0x0fa506b74dc9c457371193ca3536ee09d82e7258,""143"""
"0x0faa826a5195442dfe11f603708dd4b60f154eb9,""43"""
"0x0fc5b3996d310051118457cfde4da013dd934134,""1329"""
"0x0fc75e7e482ffef64563cc932639fdc96c0b185a,""166"""
"0x0fccf1bd42890a988b22f012de78be4325a76c12,""43"""
"0x0fcd5eaf2e5f9b59aa61511e219ee3e5515ae870,""43"""
"0x0fd025b81797f9ed346a5984286074e4af7f7844,""43"""
"0x0ff02d2bd06dd01f404ea423a2cf20243fe786b3,""43"""
"0x0ff65fcd3b9930cbe3674547bcd3e0dece5fbc19,""163"""
"0x100a8376fa7800e75d45a2b84f59b6d301c693c1,""43"""
"0x101123c045f04036827f601f8280cc5a451be2d0,""656"""
"0x101af3efc57e4b8075a7710c1e2eca777f1c8c3c,""966"""
"0x10314a53ec4736e4940aba22d2c597fa9fc66fd9,""943"""
"0x1048f483e52fb457d6893a03f5cb90fab618233f,""83"""
"0x104e37242b569a3352236dac17ecfb6a49e7cdad,""5832"""
"0x1053c151bfa79756f8d760999e696cc5d79f7b54,""15343"""
"0x10740db9ff57d782820d1703bcfdb5880fde844e,""163"""
"0x1078901a9840bfbb36ad4141ae0d489488a7f139,""63"""
"0x107e107381fd4ab113327a6a63375e4edc8d435c,""475"""
"0x108db5c3e4db59b2bea150c761e92f251816c677,""83"""
